Order ID,Order Date,Order Priority,Order Quantity,Total Sales,Total Cost of Good sold,Total Discount,Total Shipping Cost,Margin,Ship Date,Ship Mode,Customer Name,Product ID,Durée de livraison,Part de livraison dans les revenus
230,10-26-2013,Critical,11,"2,067","1,662",165,12,227,10-29-2013,Regular Air,Erin Creighton,132,3,0.59%
231,09-28-2012,High,2,299,238,24,30,6,09-30-2012,Regular Air,Sean Braxton,37,2,10.04%
258,12-28-2013,Critical,21,"3,929","3,047",0,13,870,12-31-2013,Regular Air,Liz Willingham,1245,3,0.33%
258,12-28-2013,Critical,33,530,439,16,8,67,12-31-2013,Regular Air,Liz Willingham,900,3,1.49%
258,12-28-2013,Critical,7,136,118,0,80,-62,12-31-2013,Delivery Truck,Liz Willingham,600,3,58.45%
261,06-28-2013,Medium,47,"1,057",911,63,6,76,06-30-2013,Regular Air,Sonia Sunley,267,2,0.60%
263,05-16-2012,High,25,509,409,61,12,27,05-19-2012,Regular Air,Paul Lucas,1247,3,2.29%
290,01-05-2012,Not Specified,24,20,17,1,9,-7,01-07-2012,Regular Air,Dorris Love,819,2,44.08%
292,01-12-2015,High,43,645,555,71,2,18,01-15-2015,Regular Air,Valerie Takahito,820,3,0.32%
293,10-01-2015,High,27,"10,200","8,202",204,4,"1,789",10-04-2015,Regular Air,Barry French,803,3,0.04%
293,10-01-2015,High,49,234,175,23,102,-67,10-03-2015,Delivery Truck,Barry French,186,2,43.67%
294,07-15-2013,Medium,35,"2,184","1,756",175,30,223,07-17-2013,Regular Air,Sanjit Chand,25,2,1.37%
322,03-18-2015,Critical,46,"3,120","2,492",406,15,207,03-20-2015,Regular Air,Giulietta Weimer,1219,2,0.48%
322,03-18-2015,Critical,20,21,18,2,12,-11,03-21-2015,Regular Air,Giulietta Weimer,315,3,56.90%
323,03-25-2012,Critical,20,75,65,8,2,1,03-28-2012,Regular Air,Dario Medina,876,3,2.77%
323,03-25-2012,Critical,2,114,98,9,17,-11,03-27-2012,Regular Air,Dario Medina,671,2,15.24%
324,03-19-2015,Critical,25,47,38,1,21,-13,03-22-2015,Regular Air,Frank Gastineau,101,3,44.61%
325,10-16-2013,Low,9,147,111,12,6,18,10-19-2013,Regular Air,Craig Yedwab,251,3,4.32%
326,06-03-2014,High,34,"1,494","1,270",60,7,157,06-06-2014,Regular Air,Michelle Tran,1123,3,0.49%
326,06-03-2014,High,17,204,176,14,5,9,06-06-2014,Regular Air,Michelle Tran,666,3,2.48%
353,12-30-2013,Low,21,135,117,4,2,13,01-01-2014,Regular Air,Dean Percer,974,2,1.11%
355,06-13-2012,Low,16,"1,386","1,118",0,1,266,06-15-2012,Regular Air,Henry MacAllister,97,2,0.11%
358,09-19-2013,High,33,"6,429","5,205",193,81,950,09-22-2013,Delivery Truck,Ricardo Block,422,3,1.26%
358,09-19-2013,High,33,"1,603","1,243",160,3,197,09-22-2013,Regular Air,Ricardo Block,192,3,0.19%
359,12-18-2012,Medium,30,167,145,18,78,-74,12-21-2012,Delivery Truck,Cari Sayre,26,3,46.65%
384,03-02-2015,Low,50,19,14,1,120,-116,03-05-2015,Delivery Truck,Sonia Cooley,140,3,638.54%
386,01-24-2014,High,4,217,186,7,1,24,01-27-2014,Regular Air,Tracy Poddar,853,3,0.35%
386,01-24-2014,High,4,15,13,2,1,-1,01-27-2014,Regular Air,Tracy Poddar,988,3,7.11%
388,12-15-2015,Not Specified,46,26,22,2,10,-9,12-18-2015,Regular Air,Jennifer Halladay,689,3,40.28%
416,09-26-2013,Low,20,15,13,0,12,-9,09-29-2013,Express Air,Stuart Calhoun,342,3,74.90%
417,02-05-2012,Medium,3,"19,538","16,850","2,540",30,119,02-07-2012,Regular Air,Robert Barroso,109,2,0.15%
417,02-05-2012,Medium,39,46,40,5,42,-40,02-07-2012,Delivery Truck,Robert Barroso,35,2,90.95%
420,10-30-2014,Not Specified,8,184,147,22,7,8,11-01-2014,Regular Air,Tony Sayre,1216,2,3.97%
420,10-30-2014,Not Specified,6,40,34,2,8,-4,11-01-2014,Regular Air,Tony Sayre,1073,2,20.22%
448,08-20-2014,Medium,22,535,435,64,30,6,08-23-2014,Regular Air,Brad Thomas,339,3,5.60%
449,07-19-2014,High,45,"1,376","1,014",41,8,313,07-21-2014,Regular Air,Candace McMahon,809,2,0.57%
450,03-04-2014,Not Specified,29,"6,761","5,208",473,13,"1,066",03-06-2014,Express Air,Matt Collins,343,2,0.20%
450,03-04-2014,Not Specified,35,"1,003",812,70,17,104,03-07-2014,Regular Air,Matt Collins,704,3,1.68%
454,12-26-2014,Low,42,292,250,35,3,4,12-29-2014,Regular Air,Darrin Martin,1031,3,0.94%
481,10-07-2015,High,44,372,318,7,8,38,10-10-2015,Regular Air,Art Foster,301,3,2.12%
483,07-10-2014,High,30,235,202,26,6,1,07-13-2014,Regular Air,Clay Rozendal,179,3,2.55%
487,08-17-2015,Critical,19,727,586,73,7,61,08-20-2015,Regular Air,Valerie Dominguez,546,3,0.93%
512,05-19-2014,Low,48,"1,308","1,056",26,16,211,05-21-2014,Express Air,Sam Craven,555,2,1.22%
512,05-19-2014,Low,6,598,514,48,27,9,05-22-2014,Regular Air,Sam Craven,76,3,4.53%
513,04-30-2014,High,33,"1,320","1,058",0,90,172,05-03-2014,Delivery Truck,Arthur Prichep,118,3,6.84%
515,08-28-2013,Not Specified,19,"5,880","4,728",647,9,496,08-30-2013,Regular Air,Carlos Soltero,568,2,0.15%
515,08-28-2013,Not Specified,21,414,342,29,7,35,08-31-2013,Regular Air,Carlos Soltero,1244,3,1.79%
548,09-20-2012,Critical,41,950,799,57,1,92,09-22-2012,Regular Air,Sung Chung,942,2,0.16%
548,09-20-2012,Critical,26,188,163,11,6,8,09-23-2012,Regular Air,Sung Chung,242,3,3.35%
548,09-20-2012,Critical,29,126,109,4,9,4,09-23-2012,Regular Air,Sung Chung,1150,3,7.01%
549,07-12-2015,Critical,13,255,223,10,11,11,07-14-2015,Regular Air,Ken Brennan,1134,2,4.37%
549,07-12-2015,Critical,5,65,56,5,13,-9,07-14-2015,Regular Air,Ken Brennan,1245,2,20.25%
549,07-12-2015,Critical,30,32,28,2,53,-51,07-15-2015,Express Air,Ken Brennan,488,3,162.04%
610,08-01-2014,Critical,38,"4,662","3,787",140,8,727,08-03-2014,Express Air,Joe Elijah,995,2,0.17%
611,01-26-2013,Critical,47,"4,979","3,763",299,14,904,01-29-2013,Regular Air,Arthur Prichep,470,3,0.29%
612,10-20-2015,Medium,43,264,226,5,4,29,10-22-2015,Regular Air,Sheri Gordon,381,2,1.42%
612,10-20-2015,Medium,50,254,220,33,9,-8,10-22-2015,Regular Air,Sheri Gordon,1038,2,3.70%
613,06-17-2014,High,12,139,121,6,12,2,06-19-2014,Regular Air,Carl Jackson,810,2,8.30%
613,06-17-2014,High,22,88,76,11,9,-8,06-19-2014,Regular Air,Carl Jackson,1255,2,10.65%
614,11-30-2015,High,41,99,81,0,8,11,12-02-2015,Regular Air,Dave Hallsten,567,2,7.59%
614,11-30-2015,High,24,588,488,59,79,-37,12-03-2015,Delivery Truck,Dave Hallsten,291,3,13.37%
640,01-22-2013,High,24,"4,718","3,588",94,14,"1,021",01-24-2013,Regular Air,Tamara Chand,596,2,0.30%
640,01-22-2013,High,39,332,269,10,88,-35,01-24-2013,Delivery Truck,Tamara Chand,180,2,26.49%
643,03-24-2014,High,21,941,941,94,53,-147,03-27-2014,Express Air,Monica Federle,1260,3,5.58%
644,04-30-2015,Critical,5,183,159,4,88,-68,05-02-2015,Delivery Truck,Bill Eplett,92,2,48.22%
645,12-02-2012,High,42,40,34,3,7,-4,12-04-2012,Regular Air,Harold Engle,745,2,18.61%
646,11-21-2012,High,18,455,394,9,6,46,11-24-2012,Regular Air,Duane Huffman,771,3,1.31%
678,02-26-2013,Low,44,"2,901","2,901",290,12,-303,03-01-2013,Regular Air,Dorothy Badders,1226,3,0.43%
706,09-08-2014,Critical,42,544,452,38,1,52,09-10-2014,Regular Air,Sarah Jordon,965,2,0.19%
710,01-01-2013,Low,29,455,345,14,27,70,01-03-2013,Delivery Truck,Susan MacKendrick,60,2,5.89%
710,01-01-2013,Low,42,207,166,4,8,29,01-03-2013,Regular Air,Susan MacKendrick,1026,2,3.97%
710,01-01-2013,Low,11,150,130,18,13,-11,01-04-2013,Regular Air,Susan MacKendrick,300,3,8.64%
738,03-01-2013,Not Specified,7,"1,605","1,295",96,7,207,03-04-2013,Regular Air,Caroline Jumper,292,3,0.42%
738,03-01-2013,Not Specified,31,567,454,62,8,42,03-03-2013,Regular Air,Caroline Jumper,862,2,1.36%
740,07-15-2014,Medium,6,"1,056","1,056",127,1,-127,07-18-2014,Regular Air,Thomas Boland,832,3,0.07%
769,06-01-2013,Medium,37,544,466,16,84,-22,06-03-2013,Delivery Truck,Roy French,362,2,15.48%
771,06-16-2014,Critical,18,"3,276","2,625",360,7,283,06-19-2014,Regular Air,Darrin Van Huff,1165,3,0.22%
772,04-16-2013,High,25,613,507,80,2,25,04-18-2013,Regular Air,Pamela Stobb,820,2,0.34%
772,04-16-2013,High,35,201,174,22,12,-7,04-18-2013,Regular Air,Pamela Stobb,721,2,6.10%
773,09-25-2013,Medium,38,"4,292","3,674",343,13,260,09-28-2013,Regular Air,Helen Abelman,200,3,0.31%
774,12-03-2014,Critical,17,"7,303","5,625",292,74,"1,312",12-05-2014,Regular Air,Sibella Parks,1257,2,1.01%
775,03-17-2014,Critical,35,"1,518","1,216",197,1,103,03-19-2014,Regular Air,Peter McVee,827,2,0.07%
775,03-17-2014,Critical,8,44,33,6,2,4,03-19-2014,Regular Air,Peter McVee,887,2,4.08%
801,02-17-2015,Critical,20,"4,218","3,415",169,5,629,02-20-2015,Regular Air,Thais Sissman,1194,3,0.12%
802,01-04-2014,Critical,33,832,667,92,8,65,01-06-2014,Regular Air,Kean Nguyen,692,2,1.02%
802,01-04-2014,Critical,2,386,331,46,14,-5,01-06-2014,Regular Air,Kean Nguyen,696,2,3.65%
805,07-04-2014,Not Specified,39,223,178,7,9,30,07-06-2014,Regular Air,Toby Swindell,835,2,3.84%
807,11-23-2013,Medium,45,219,189,4,9,16,11-26-2013,Regular Air,Neola Schneider,1130,3,4.23%
807,11-23-2013,Medium,32,193,165,12,3,13,11-25-2013,Regular Air,Neola Schneider,966,2,1.56%
832,04-18-2015,Low,7,"3,735","2,953",112,9,660,04-20-2015,Regular Air,Alice McCarthy,1150,2,0.24%
833,02-12-2012,Medium,1,30,26,1,11,-8,02-15-2012,Regular Air,Olvera Toch,917,3,35.99%
834,05-22-2012,Medium,15,"5,104","4,118",102,84,799,05-24-2012,Delivery Truck,Eugene Moren,362,2,1.65%
835,10-07-2014,Not Specified,18,168,136,5,8,19,10-10-2014,Regular Air,Duane Huffman,862,3,4.60%
837,06-14-2012,Not Specified,11,182,157,4,1,20,06-17-2012,Regular Air,Sean O'Donnell,971,3,0.69%
868,06-08-2015,Not Specified,31,697,576,42,5,74,06-10-2015,Regular Air,Carlos Daly,284,2,0.78%
868,06-08-2015,Not Specified,32,126,103,0,9,14,06-11-2015,Regular Air,Carlos Daly,568,3,7.05%
870,06-19-2013,Not Specified,23,55,44,3,5,2,06-21-2013,Regular Air,Valerie Dominguez,224,2,9.58%
871,11-14-2014,Low,17,"1,452","1,164",116,8,164,11-17-2014,Regular Air,David Kendrick,473,3,0.54%
896,03-08-2013,Critical,50,117,101,2,19,-6,03-11-2013,Regular Air,Edward Nazzal,578,3,16.69%
898,06-02-2013,High,40,"3,330","2,541",133,10,646,06-04-2013,Regular Air,Sanjit Jacobs,562,2,0.29%
898,06-02-2013,High,26,639,532,38,81,-12,06-05-2013,Delivery Truck,Sanjit Jacobs,6,3,12.70%
900,09-30-2012,Not Specified,29,34,29,3,4,-3,10-03-2012,Regular Air,Karen Carlisle,620,3,13.16%
902,07-26-2012,Not Specified,10,341,294,41,1,5,07-28-2012,Regular Air,Meg O'Connel,239,2,0.44%
928,03-01-2014,Low,21,"6,627","5,311",530,6,780,03-04-2014,Express Air,Anthony O'Donnell,241,3,0.09%
928,03-01-2014,Low,26,"1,260","1,016",38,11,194,03-04-2014,Express Air,Anthony O'Donnell,776,3,0.88%
929,10-01-2015,High,39,230,182,14,4,31,10-04-2015,Regular Air,Luke Foster,928,3,1.67%
929,10-01-2015,High,21,106,85,6,10,5,10-03-2015,Regular Air,Luke Foster,504,2,9.19%
930,12-16-2012,Critical,11,909,689,0,3,217,12-19-2012,Regular Air,Phillina Ober,748,3,0.33%
930,12-16-2012,Critical,22,9,8,0,88,-87,12-18-2012,Express Air,Phillina Ober,300,2,965.86%
933,08-04-2015,Not Specified,15,"1,487","1,146",45,4,292,08-06-2015,Regular Air,Claudia Miner,883,2,0.30%
960,09-20-2012,Medium,46,32,27,3,10,-8,09-22-2012,Regular Air,Jim Kriz,691,2,32.13%
962,05-05-2012,Low,47,"4,059","3,513",446,90,9,05-07-2012,Delivery Truck,Mike Vittorini,399,2,2.22%
962,05-05-2012,Low,33,298,258,24,30,-14,05-08-2012,Regular Air,Mike Vittorini,415,3,10.06%
964,05-19-2014,Medium,4,"1,188","1,032",36,2,119,05-22-2014,Regular Air,Stefania Perrino,749,3,0.14%
964,05-19-2014,Medium,50,216,187,6,2,20,05-22-2014,Regular Air,Stefania Perrino,768,3,1.04%
965,05-14-2014,Low,42,632,515,63,54,0,05-17-2014,Delivery Truck,Jas O'Carroll,19,3,8.47%
967,06-20-2015,Medium,48,"1,585","1,270",32,49,234,06-23-2015,Delivery Truck,Maureen Gastineau,47,3,3.07%
967,06-20-2015,Medium,42,84,72,2,4,6,06-22-2015,Regular Air,Maureen Gastineau,519,2,5.18%
967,06-20-2015,Medium,6,81,66,3,11,1,06-23-2015,Regular Air,Maureen Gastineau,694,3,13.89%
994,04-19-2012,Low,38,"1,246","1,071",100,2,73,04-21-2012,Regular Air,Kelly Lampkin,1093,2,0.20%
995,05-30-2014,Medium,46,79,69,3,5,3,06-01-2014,Regular Air,Neola Schneider,429,2,5.76%
998,11-25-2012,Not Specified,16,"1,835","1,501",183,2,148,11-27-2012,Regular Air,Allen Rosenblatt,777,2,0.11%
999,09-04-2013,Low,6,"1,168",874,129,30,135,09-07-2013,Regular Air,Max Jones,139,3,2.57%
1027,06-02-2015,Medium,19,76,61,5,70,-59,06-04-2015,Delivery Truck,Hallie Redmond,437,2,92.06%
1028,01-05-2012,High,6,550,439,22,3,86,01-08-2012,Regular Air,Matt Collins,348,3,0.54%
1028,01-05-2012,High,11,171,146,3,9,12,01-07-2012,Regular Air,Matt Collins,89,2,5.26%
1031,08-31-2012,Medium,34,"7,701","5,838",0,8,"1,855",09-03-2012,Regular Air,Sanjit Jacobs,877,3,0.10%
1057,02-19-2015,Critical,41,136,118,16,5,-4,02-22-2015,Regular Air,Anthony Witt,598,3,3.99%
1058,04-25-2013,Medium,3,76,65,8,13,-10,04-27-2013,Regular Air,Jim Epp,57,2,17.82%
1059,02-26-2012,Critical,22,64,53,2,4,5,02-29-2012,Regular Air,Sean O'Donnell,881,3,6.98%
1059,02-26-2012,Critical,24,117,101,5,11,0,02-29-2012,Regular Air,Sean O'Donnell,516,3,9.54%
1060,02-20-2013,Medium,30,"1,349","1,092",0,4,252,02-22-2013,Regular Air,Harold Dahlen,489,2,0.33%
1088,05-20-2015,Low,13,588,470,76,10,32,05-22-2015,Regular Air,Muhammed Yedwab,276,2,1.66%
1095,08-21-2014,Medium,28,46,39,5,7,-5,08-23-2014,Regular Air,Ed Braxton,1165,2,15.50%
1127,09-18-2014,Not Specified,48,"11,801","9,240",236,21,"2,304",09-21-2014,Regular Air,Stuart Calhoun,152,3,0.18%
1154,02-14-2015,Critical,7,293,248,6,5,34,02-17-2015,Express Air,Thea Hendricks,224,3,1.79%
1154,02-14-2015,Critical,23,299,257,9,1,32,02-17-2015,Regular Air,Thea Hendricks,763,3,0.25%
1154,02-14-2015,Critical,44,252,216,15,39,-18,02-17-2015,Delivery Truck,Sylvia Foulston,237,3,15.62%
1154,02-14-2015,Critical,11,"4,443","3,549","1,466",104,-676,02-16-2015,Regular Air,Sylvia Foulston,197,2,2.33%
1185,08-23-2015,Low,7,248,186,30,21,11,08-26-2015,Regular Air,Ionia McGrath,364,3,8.65%
1187,11-19-2015,Medium,14,"2,508","2,030",176,6,296,11-22-2015,Regular Air,Guy Armstrong,562,3,0.24%
1189,04-08-2012,Critical,27,248,214,0,7,26,04-11-2012,Regular Air,Aaron Smayling,1185,3,3.02%
1191,11-06-2014,Medium,35,216,172,24,90,-70,11-08-2014,Delivery Truck,Karl Brown,368,2,41.72%
1217,04-25-2015,Not Specified,25,"3,419","2,651",342,3,423,04-28-2015,Regular Air,Sung Shariari,348,3,0.09%
1218,06-19-2012,Not Specified,3,431,348,56,10,17,06-22-2012,Regular Air,Craig Carroll,591,3,2.35%
1221,04-18-2015,Not Specified,16,"9,867","8,509","1,085",8,264,04-20-2015,Regular Air,Lela Donovan,1231,2,0.08%
1221,04-18-2015,Not Specified,1,"3,234","2,759",259,9,207,04-21-2015,Regular Air,Lela Donovan,790,3,0.29%
1221,04-18-2015,Not Specified,11,9,7,0,30,-29,04-20-2015,Regular Air,Lela Donovan,86,2,348.66%
1222,02-04-2013,Medium,48,"1,800","1,462",198,8,131,02-06-2013,Regular Air,Nicole Brennan,968,2,0.46%
1253,01-25-2013,Critical,15,"1,632","1,308",114,10,200,01-27-2013,Regular Air,Tanja Norvell,559,2,0.62%
1280,01-10-2013,Low,40,"1,131",986,79,10,56,01-12-2013,Regular Air,Harold Dahlen,276,2,0.86%
1282,02-27-2015,Not Specified,10,826,702,17,2,105,03-02-2015,Regular Air,Emily Grady,800,3,0.24%
1282,02-27-2015,Not Specified,26,379,315,0,3,61,03-01-2015,Regular Air,Emily Grady,329,2,0.79%
1285,05-31-2015,Critical,8,"3,536","2,742",248,104,442,06-02-2015,Delivery Truck,Sally Matthias,8,2,2.95%
1285,05-31-2015,Critical,27,74,60,0,82,-68,06-02-2015,Delivery Truck,Sally Matthias,51,2,111.08%
1286,05-13-2013,Not Specified,46,573,430,40,9,94,05-15-2013,Regular Air,Lena Creighton,1106,2,1.50%
1286,05-13-2013,Not Specified,14,238,207,19,5,7,05-16-2013,Regular Air,Lena Creighton,366,3,2.08%
1287,07-04-2012,High,39,740,595,59,15,71,07-06-2012,Regular Air,Mitch Willingham,129,2,2.05%
1313,09-12-2012,Critical,34,"1,750","1,322",0,25,402,09-14-2012,Regular Air,Sally Matthias,766,2,1.45%
1314,05-12-2012,Medium,4,"2,266","1,816",0,7,443,05-15-2012,Regular Air,Justin Knight,816,3,0.29%
1317,05-18-2014,High,44,"4,500","3,631",360,8,501,05-21-2014,Regular Air,Janet Lee,692,3,0.19%
1317,05-18-2014,High,40,515,441,57,11,6,05-21-2014,Regular Air,Janet Lee,1134,3,2.17%
1317,05-18-2014,High,29,199,173,16,8,2,05-20-2014,Regular Air,Janet Lee,968,2,4.19%
1344,04-15-2015,Low,18,990,793,20,13,163,04-17-2015,Regular Air,Jim Radford,82,2,1.36%
1344,04-15-2015,Low,15,785,611,63,8,104,04-17-2015,Regular Air,Jim Radford,420,2,1.01%
1345,10-27-2015,Low,24,538,445,59,54,-20,10-29-2015,Delivery Truck,Ritsa Hightower,114,2,9.99%
1346,06-17-2015,High,48,777,667,93,39,-23,06-20-2015,Delivery Truck,Theone Pippenger,237,3,5.06%
1382,08-16-2013,Low,5,497,398,40,4,55,08-18-2013,Regular Air,Corey Catlett,466,2,0.75%
1382,08-16-2013,Low,39,105,78,8,8,10,08-18-2013,Regular Air,Corey Catlett,1099,2,7.52%
1382,08-16-2013,Low,31,155,134,5,97,-80,08-18-2013,Delivery Truck,Corey Catlett,176,2,62.49%
1383,04-26-2013,High,43,45,39,5,17,-15,04-28-2013,Regular Air,Frank Merwin,149,2,37.60%
1411,12-20-2012,High,47,"10,922","8,496","1,311",7,"1,108",12-23-2012,Regular Air,Ed Jacobs,40,3,0.07%
1411,12-20-2012,High,39,"6,850","5,435",822,53,540,12-22-2012,Delivery Truck,Ed Jacobs,108,2,0.77%
1412,03-12-2013,Not Specified,13,"2,808","2,258",365,1,184,03-15-2013,Express Air,Carlos Soltero,1082,3,0.03%
1412,03-12-2013,Not Specified,21,48,41,3,1,2,03-14-2013,Regular Air,Carlos Soltero,743,2,2.19%
1414,08-15-2014,Critical,44,"1,740","1,490",174,62,14,08-17-2014,Delivery Truck,Carol Darley,231,2,3.59%
1440,08-09-2014,Low,41,"2,838","2,305",57,13,462,08-11-2014,Regular Air,Stefanie Holloman,463,2,0.48%
1444,12-05-2012,Medium,2,"6,278","4,821",188,13,"1,256",12-08-2012,Regular Air,Noel Staavos,1245,3,0.21%
1444,12-05-2012,Medium,24,"3,528","2,828",106,7,587,12-08-2012,Regular Air,Noel Staavos,741,3,0.21%
1444,12-05-2012,Medium,13,"1,820","1,434",109,22,254,12-07-2012,Delivery Truck,Noel Staavos,88,2,1.21%
1444,12-05-2012,Medium,32,"1,044",845,84,37,78,12-08-2012,Express Air,Noel Staavos,44,3,3.52%
1444,12-05-2012,Medium,25,"1,179",995,118,13,53,12-07-2012,Regular Air,Noel Staavos,554,2,1.11%
1445,01-09-2014,Medium,30,"1,263","1,101",139,9,14,01-11-2014,Regular Air,Shahid Shariari,518,2,0.69%
1445,01-09-2014,Medium,3,68,59,0,30,-21,01-11-2014,Regular Air,Shahid Shariari,41,2,44.20%
1447,10-14-2015,High,40,217,187,22,13,-5,10-17-2015,Regular Air,Barry Gonzalez,402,3,6.23%
1504,08-27-2015,Medium,31,273,205,30,3,34,08-30-2015,Regular Air,Maribeth Schnelling,826,3,1.09%
1507,10-13-2013,Medium,29,"5,327","4,130",639,6,551,10-15-2013,Regular Air,Harold Ryan,13,2,0.11%
1537,02-14-2015,Not Specified,5,113,98,11,9,-6,02-16-2015,Regular Air,Grant Thornton,1248,2,8.04%
1538,06-17-2014,Not Specified,15,347,276,0,7,63,06-20-2014,Regular Air,Ted Trevino,151,3,2.12%
1539,03-09-2014,Low,38,528,457,37,7,27,03-11-2014,Regular Air,Carl Ludwig,668,2,1.40%
1539,03-09-2014,Low,33,99,74,13,20,-8,03-12-2014,Regular Air,Carl Ludwig,693,3,19.99%
1540,08-04-2015,High,30,186,145,22,1,17,08-06-2015,Regular Air,Don Miller,911,2,0.57%
1542,09-14-2013,Medium,13,"2,283","1,849",251,9,174,09-17-2013,Regular Air,Linda Southworth,873,3,0.41%
1542,09-14-2013,Medium,47,480,365,38,6,71,09-17-2013,Regular Air,Linda Southworth,411,3,1.25%
1573,12-27-2015,High,13,13,11,2,49,-48,12-29-2015,Delivery Truck,Lena Radford,423,2,387.99%
1575,09-12-2014,Medium,26,"8,272","6,629",579,1,"1,062",09-15-2014,Regular Air,Dave Poirier,840,3,0.01%
1575,09-12-2014,Medium,10,129,112,14,8,-5,09-14-2014,Regular Air,Dave Poirier,172,2,6.09%
1600,03-02-2013,Medium,36,309,251,19,11,28,03-05-2013,Regular Air,Liz MacKendrick,1134,3,3.61%
