Order ID,Order Date,Order Priority,Order Quantity,Total Sales,Total Cost of Good sold,Total Discount,Total Shipping Cost,Margin,Ship Date,Ship Mode,Customer Name,Product ID,Product category,Product Subcategory,Part des frais de port,,TOP 100,
487,08-17-2015,Critical,19,727,586,73,7,61,08-20-2015,Regular Air,Valerie Dominguez,546,Office Supplies,Appliances,0.93%,,18,18445
549,07-12-2015,Critical,13,255,223,10,11,11,07-14-2015,Regular Air,Ken Brennan,1134,Office Supplies,Paper,4.37%,,19,18035
549,07-12-2015,Critical,5,65,56,5,13,-9,07-14-2015,Regular Air,Ken Brennan,1245,Office Supplies,Paper,20.25%,,20,18035
549,07-12-2015,Critical,30,32,28,2,53,-51,07-15-2015,Express Air,Ken Brennan,488,Office Supplies,Storage & Organization,162.04%,,21,17851
612,10-20-2015,Medium,43,264,226,5,4,29,10-22-2015,Regular Air,Sheri Gordon,381,Technology,Telephones and Communication,1.42%,,22,17817
612,10-20-2015,Medium,50,254,220,33,9,-8,10-22-2015,Regular Air,Sheri Gordon,1038,Office Supplies,Paper,3.70%,,23,17550
614,11-30-2015,High,41,99,81,0,8,11,12-02-2015,Regular Air,Dave Hallsten,567,Furniture,Office Furnishings,7.59%,,24,17073
614,11-30-2015,High,24,588,488,59,79,-37,12-03-2015,Delivery Truck,Dave Hallsten,291,Furniture,Tables,13.37%,,25,16684
644,04-30-2015,Critical,5,183,159,4,88,-68,05-02-2015,Delivery Truck,Bill Eplett,92,Furniture,Chairs & Chairmats,48.22%,,26,16529
801,02-17-2015,Critical,20,"4,218","3,415",169,5,629,02-20-2015,Regular Air,Thais Sissman,1194,Office Supplies,Pens & Art Supplies,0.12%,,27,16279
832,04-18-2015,Low,7,"3,735","2,953",112,9,660,04-20-2015,Regular Air,Alice McCarthy,1150,Office Supplies,Paper,0.24%,,28,16174
868,06-08-2015,Not Specified,31,697,576,42,5,74,06-10-2015,Regular Air,Carlos Daly,284,Technology,Computer Peripherals,0.78%,,29,16100
868,06-08-2015,Not Specified,32,126,103,0,9,14,06-11-2015,Regular Air,Carlos Daly,568,Office Supplies,Appliances,7.05%,,30,16031
929,10-01-2015,High,39,230,182,14,4,31,10-04-2015,Regular Air,Luke Foster,928,Office Supplies,"Scissors, Rulers and Trimmers",1.67%,,31,15779
929,10-01-2015,High,21,106,85,6,10,5,10-03-2015,Regular Air,Luke Foster,504,Technology,Computer Peripherals,9.19%,,32,15301
933,08-04-2015,Not Specified,15,"1,487","1,146",45,4,292,08-06-2015,Regular Air,Claudia Miner,883,Office Supplies,Binders and Binder Accessories,0.30%,,33,15237
967,06-20-2015,Medium,48,"1,585","1,270",32,49,234,06-23-2015,Delivery Truck,Maureen Gastineau,47,Furniture,Tables,3.07%,,34,15029
967,06-20-2015,Medium,42,84,72,2,4,6,06-22-2015,Regular Air,Maureen Gastineau,519,Office Supplies,Pens & Art Supplies,5.18%,,35,15000
967,06-20-2015,Medium,6,81,66,3,11,1,06-23-2015,Regular Air,Maureen Gastineau,694,Technology,Office Machines,13.89%,,36,14943
1027,06-02-2015,Medium,19,76,61,5,70,-59,06-04-2015,Delivery Truck,Hallie Redmond,437,Furniture,Bookcases,92.06%,,37,14700
1057,02-19-2015,Critical,41,136,118,16,5,-4,02-22-2015,Regular Air,Anthony Witt,598,Technology,Computer Peripherals,3.99%,,38,14239
1088,05-20-2015,Low,13,588,470,76,10,32,05-22-2015,Regular Air,Muhammed Yedwab,276,Technology,Computer Peripherals,1.66%,,39,14009
1154,02-14-2015,Critical,7,293,248,6,5,34,02-17-2015,Express Air,Thea Hendricks,224,Office Supplies,Appliances,1.79%,,40,14000
1154,02-14-2015,Critical,23,299,257,9,1,32,02-17-2015,Regular Air,Thea Hendricks,763,Office Supplies,Labels,0.25%,,41,13775
1154,02-14-2015,Critical,44,252,216,15,39,-18,02-17-2015,Delivery Truck,Sylvia Foulston,237,Furniture,Bookcases,15.62%,,42,13529
1154,02-14-2015,Critical,11,"4,443","3,549","1,466",104,-676,02-16-2015,Regular Air,Sylvia Foulston,197,Furniture,Tables,2.33%,,43,13526
1185,08-23-2015,Low,7,248,186,30,21,11,08-26-2015,Regular Air,Ionia McGrath,364,Office Supplies,Paper,8.65%,,44,13500
1187,11-19-2015,Medium,14,"2,508","2,030",176,6,296,11-22-2015,Regular Air,Guy Armstrong,562,Technology,Computer Peripherals,0.24%,,45,13151
1217,04-25-2015,Not Specified,25,"3,419","2,651",342,3,423,04-28-2015,Regular Air,Sung Shariari,348,Technology,Computer Peripherals,0.09%,,46,13136
1221,04-18-2015,Not Specified,16,"9,867","8,509","1,085",8,264,04-20-2015,Regular Air,Lela Donovan,1231,Office Supplies,Binders and Binder Accessories,0.08%,,47,13050
1221,04-18-2015,Not Specified,1,"3,234","2,759",259,9,207,04-21-2015,Regular Air,Lela Donovan,790,Office Supplies,Binders and Binder Accessories,0.29%,,48,12810
1221,04-18-2015,Not Specified,11,9,7,0,30,-29,04-20-2015,Regular Air,Lela Donovan,86,Office Supplies,Binders and Binder Accessories,348.66%,,49,12690
1282,02-27-2015,Not Specified,10,826,702,17,2,105,03-02-2015,Regular Air,Emily Grady,800,Office Supplies,Pens & Art Supplies,0.24%,,50,12512
1282,02-27-2015,Not Specified,26,379,315,0,3,61,03-01-2015,Regular Air,Emily Grady,329,Technology,Computer Peripherals,0.79%,,51,12351
1285,05-31-2015,Critical,8,"3,536","2,742",248,104,442,06-02-2015,Delivery Truck,Sally Matthias,8,Furniture,Tables,2.95%,,52,12340
1285,05-31-2015,Critical,27,74,60,0,82,-68,06-02-2015,Delivery Truck,Sally Matthias,51,Furniture,Bookcases,111.08%,,53,12335
1344,04-15-2015,Low,18,990,793,20,13,163,04-17-2015,Regular Air,Jim Radford,82,Technology,Telephones and Communication,1.36%,,54,12285
1344,04-15-2015,Low,15,785,611,63,8,104,04-17-2015,Regular Air,Jim Radford,420,Technology,Telephones and Communication,1.01%,,55,12039
1345,10-27-2015,Low,24,538,445,59,54,-20,10-29-2015,Delivery Truck,Ritsa Hightower,114,Furniture,Bookcases,9.99%,,56,11871
1346,06-17-2015,High,48,777,667,93,39,-23,06-20-2015,Delivery Truck,Theone Pippenger,237,Furniture,Bookcases,5.06%,,57,11801
1447,10-14-2015,High,40,217,187,22,13,-5,10-17-2015,Regular Air,Barry Gonzalez,402,Technology,Telephones and Communication,6.23%,,58,11555
1504,08-27-2015,Medium,31,273,205,30,3,34,08-30-2015,Regular Air,Maribeth Schnelling,826,Technology,Computer Peripherals,1.09%,,59,11385
1537,02-14-2015,Not Specified,5,113,98,11,9,-6,02-16-2015,Regular Air,Grant Thornton,1248,Office Supplies,Binders and Binder Accessories,8.04%,,60,11319
1540,08-04-2015,High,30,186,145,22,1,17,08-06-2015,Regular Air,Don Miller,911,Office Supplies,Pens & Art Supplies,0.57%,,61,11168
1573,12-27-2015,High,13,13,11,2,49,-48,12-29-2015,Delivery Truck,Lena Radford,423,Furniture,Chairs & Chairmats,387.99%,,62,10735
1701,05-18-2015,High,49,"1,440","1,166",29,3,242,05-20-2015,Regular Air,Ed Ludwig,326,Technology,Computer Peripherals,0.21%,,63,10695
1701,05-18-2015,High,1,"2,008","1,695",60,22,231,05-21-2015,Regular Air,Ed Ludwig,395,Furniture,Office Furnishings,1.08%,,64,10679
1764,03-24-2015,Critical,7,839,632,109,7,91,03-27-2015,Regular Air,Hallie Redmond,814,Office Supplies,Paper,0.86%,,65,10630
1793,07-11-2015,Not Specified,36,"2,424","1,923",97,8,396,07-13-2015,Regular Air,Joni Blumstein,1091,Office Supplies,Binders and Binder Accessories,0.33%,,66,10469
1796,11-20-2015,High,43,310,265,31,8,7,11-23-2015,Regular Air,Deanra Eno,1148,Office Supplies,Binders and Binder Accessories,2.44%,,67,10396
1826,04-15-2015,Not Specified,5,984,851,118,7,7,04-17-2015,Regular Air,Susan Vittorini,938,Office Supplies,Paper,0.72%,,68,10327
1856,03-19-2015,Not Specified,44,"5,418","4,371",704,13,329,03-21-2015,Regular Air,Alex Avila,169,Technology,Telephones and Communication,0.24%,,69,10282
1856,03-19-2015,Not Specified,43,"1,464","1,173",102,12,176,03-21-2015,Regular Air,Alex Avila,126,Technology,Telephones and Communication,0.83%,,70,10259
1856,03-19-2015,Not Specified,24,28,23,3,74,-72,03-21-2015,Regular Air,Alex Avila,345,Office Supplies,Appliances,264.39%,,71,10240
1925,03-04-2015,Critical,7,"5,544","4,443",610,37,454,03-06-2015,Regular Air,Brian Moss,1262,Furniture,Chairs & Chairmats,0.66%,,72,10200
1925,03-04-2015,Critical,40,90,78,3,3,6,03-06-2015,Regular Air,Brian Moss,501,Technology,Computer Peripherals,3.33%,,73,10180
1991,09-06-2015,Not Specified,37,"3,698","2,964",74,18,642,09-09-2015,Delivery Truck,Barry Franz,81,Technology,Office Machines,0.49%,,74,10065
1991,09-06-2015,Not Specified,27,58,50,7,37,-36,09-09-2015,Regular Air,Barry Franz,168,Furniture,Office Furnishings,62.99%,,75,10017
2022,03-14-2015,Critical,45,323,253,0,8,61,03-17-2015,Regular Air,Alan Hwang,838,Office Supplies,Appliances,2.39%,,76,9867
2023,05-05-2015,Low,50,296,231,24,8,33,05-08-2015,Regular Air,Sam Craven,1166,Office Supplies,Paper,2.78%,,77,9834
2023,05-05-2015,Low,4,32,28,4,18,-18,05-08-2015,Regular Air,Sam Craven,156,Technology,Computer Peripherals,56.20%,,78,9825
2052,04-12-2015,High,23,160,138,0,8,13,04-15-2015,Regular Air,Rob Lucas,1004,Office Supplies,Binders and Binder Accessories,5.01%,,79,9755
2054,06-07-2015,Not Specified,34,363,293,15,11,44,06-09-2015,Regular Air,Katrina Willman,455,Furniture,Office Furnishings,3.13%,,80,9722
2054,06-07-2015,Not Specified,1,571,491,69,30,-18,06-10-2015,Regular Air,Katrina Willman,37,Office Supplies,Appliances,5.25%,,81,9701
2146,09-13-2015,Not Specified,44,"7,216","5,783",722,1,710,09-16-2015,Regular Air,Todd Boyes,950,Office Supplies,Labels,0.01%,,82,9621
2146,09-13-2015,Not Specified,41,987,791,79,7,110,09-16-2015,Regular Air,Todd Boyes,40,Technology,Telephones and Communication,0.76%,,83,9600
2147,09-05-2015,Not Specified,15,"2,075","1,686",124,8,257,09-08-2015,Express Air,Hallie Redmond,441,Office Supplies,Appliances,0.39%,,84,9502
2209,07-09-2015,High,1,"8,666","6,993",260,1,"1,412",07-11-2015,Regular Air,Pete Armstrong,999,Office Supplies,Paper,0.02%,,85,9476
2209,07-09-2015,High,13,180,146,23,5,6,07-12-2015,Regular Air,Pete Armstrong,288,Technology,Telephones and Communication,2.50%,,86,9476
2209,07-09-2015,High,42,5,4,1,1,-1,07-11-2015,Regular Air,Pete Armstrong,733,Office Supplies,Pens & Art Supplies,29.62%,,87,9402
2209,07-09-2015,High,27,226,194,0,88,-56,07-12-2015,Delivery Truck,Pete Armstrong,92,Furniture,Chairs & Chairmats,39.11%,,88,9330
2240,03-05-2015,Not Specified,17,194,158,4,8,24,03-07-2015,Regular Air,Sarah Brown,552,Furniture,Office Furnishings,3.99%,,89,9314
2240,03-05-2015,Not Specified,5,181,146,14,9,11,03-07-2015,Regular Air,Sarah Brown,506,Office Supplies,Pens & Art Supplies,5.12%,,90,9262
2247,08-01-2015,Not Specified,6,206,173,17,13,4,08-03-2015,Delivery Truck,Clay Cheatham,56,Technology,Office Machines,6.34%,,91,9246
2275,10-21-2015,Not Specified,49,377,302,42,2,32,10-23-2015,Regular Air,Grant Carroll,932,Office Supplies,Pens & Art Supplies,0.46%,,92,9184
2497,08-26-2015,Critical,21,462,371,37,8,46,08-29-2015,Regular Air,Michael Moore,117,Technology,Telephones and Communication,1.71%,,93,9086
2500,08-14-2015,High,5,320,275,19,9,16,08-16-2015,Regular Air,Bobby Elias,1249,Office Supplies,Binders and Binder Accessories,2.94%,,94,9027
2560,09-04-2015,Critical,23,671,505,67,8,90,09-06-2015,Regular Air,Harold Ryan,1166,Office Supplies,Paper,1.23%,,95,8924
2560,09-04-2015,Critical,32,533,452,0,10,72,09-06-2015,Regular Air,Harold Ryan,276,Technology,Computer Peripherals,1.83%,,96,8858
2562,07-31-2015,Critical,28,139,121,4,3,11,08-02-2015,Regular Air,Cindy Chapman,998,Technology,Computer Peripherals,2.14%,,97,8800
2562,07-31-2015,Critical,17,68,59,4,9,-4,08-02-2015,Express Air,Cindy Chapman,444,Office Supplies,Paper,12.81%,,98,8728
2562,07-31-2015,Critical,6,59,48,7,17,-12,08-02-2015,Regular Air,Cindy Chapman,1072,Office Supplies,Paper,28.43%,,99,8666
2630,10-23-2015,Low,31,"4,326","3,502",260,2,562,10-26-2015,Regular Air,Patrick Ryan,1110,Office Supplies,Paper,0.05%,,100,8496
2688,01-23-2015,High,31,"2,442","1,984",317,2,139,01-25-2015,Regular Air,Thais Sissman,377,Technology,Telephones and Communication,0.08%,,SOMME,1427379
2688,01-23-2015,High,7,"2,666","2,291",320,10,45,01-25-2015,Regular Air,Thais Sissman,276,Technology,Computer Peripherals,0.37%,,,
2688,01-23-2015,High,11,147,111,3,6,27,01-25-2015,Regular Air,Thais Sissman,127,Technology,Telephones and Communication,3.99%,,,
2691,04-29-2015,Low,14,"6,344","4,794",825,63,662,05-02-2015,Delivery Truck,Ted Trevino,199,Furniture,Bookcases,0.99%,,,
2755,02-06-2015,Not Specified,50,749,643,0,9,97,02-09-2015,Regular Air,Jane Waco,1019,Office Supplies,Paper,1.17%,,,
2755,02-06-2015,Not Specified,30,527,456,21,4,45,02-08-2015,Regular Air,Jane Waco,550,Office Supplies,Binders and Binder Accessories,0.85%,,,
2848,03-09-2015,Critical,8,"1,516","1,153",91,13,259,03-11-2015,Regular Air,Emily Grady,208,Technology,Telephones and Communication,0.89%,,,
2848,03-09-2015,Critical,35,"1,933","1,933",155,24,-179,03-12-2015,Express Air,Emily Grady,636,Furniture,Office Furnishings,1.23%,,,
2885,09-18-2015,Not Specified,29,781,644,63,13,63,09-21-2015,Regular Air,Nora Price,975,Office Supplies,Paper,1.61%,,,
2885,09-18-2015,Not Specified,46,188,163,15,8,2,09-20-2015,Regular Air,Nora Price,655,Office Supplies,Storage & Organization,4.32%,,,
2912,03-11-2015,Low,9,"17,851","14,404","1,250",7,"2,191",03-13-2015,Express Air,Tamara Dahlen,593,Office Supplies,Paper,0.04%,,,
2912,03-11-2015,Low,7,"3,654","2,928",402,45,279,03-14-2015,Delivery Truck,Tamara Dahlen,31,Technology,Office Machines,1.22%,,,
3014,10-29-2015,Not Specified,13,"4,364","3,533",131,30,670,11-01-2015,Regular Air,Pamela Stobb,84,Office Supplies,Binders and Binder Accessories,0.69%,,,
3168,01-29-2015,Low,14,"47,481","40,800","2,849",6,"3,827",01-31-2015,Regular Air,Jasper Cacioppo,1068,Furniture,Office Furnishings,0.01%,,,
3172,06-02-2015,Not Specified,33,949,821,66,5,56,06-04-2015,Regular Air,Annie Thurman,387,Technology,Telephones and Communication,0.52%,,,
3202,12-23-2015,Low,10,133,116,9,8,0,12-26-2015,Regular Air,Richard Eichhorn,390,Technology,Computer Peripherals,6.18%,,,
3205,04-10-2015,Low,8,74,60,1,6,7,04-12-2015,Regular Air,Alan Haines,664,Furniture,Office Furnishings,7.57%,,,
3205,04-10-2015,Low,42,125,105,8,104,-91,04-13-2015,Express Air,Alan Haines,197,Furniture,Tables,82.51%,,,
3232,10-08-2015,Critical,5,"15,029","12,005","1,202",7,"1,815",10-11-2015,Regular Air,Brad Eason,983,Office Supplies,Binders and Binder Accessories,0.05%,,,
3297,11-02-2015,High,40,369,311,22,11,24,11-05-2015,Regular Air,Raymond Book,1167,Office Supplies,Labels,3.05%,,,
3328,11-18-2015,Low,12,96,83,12,120,-120,11-21-2015,Delivery Truck,Adam Hart,140,Furniture,Tables,125.47%,,,
3333,09-15-2015,Not Specified,9,965,784,106,8,67,09-18-2015,Regular Air,Sandra Flanagan,1208,Office Supplies,Paper,0.84%,,,
3333,09-15-2015,Not Specified,42,324,281,36,7,0,09-18-2015,Regular Air,Sandra Flanagan,601,Office Supplies,Appliances,2.08%,,,
3361,08-22-2015,Not Specified,49,"1,044",842,83,10,108,08-25-2015,Regular Air,Michael Granlund,1228,Office Supplies,Paper,0.97%,,,
3361,08-22-2015,Not Specified,23,210,180,21,3,6,08-24-2015,Regular Air,Michael Granlund,681,Office Supplies,Pens & Art Supplies,1.62%,,,
3521,10-25-2015,Low,50,"1,690","1,294",135,1,260,10-28-2015,Regular Air,Giulietta Baptist,733,Office Supplies,Pens & Art Supplies,0.08%,,,
3524,05-02-2015,High,21,39,34,0,14,-9,05-04-2015,Regular Air,Nicole Hansen,507,Office Supplies,Paper,34.55%,,,
3556,09-22-2015,Not Specified,48,"5,620","4,400",393,8,819,09-24-2015,Regular Air,George Zrebassa,896,Office Supplies,Binders and Binder Accessories,0.13%,,,
3556,09-22-2015,Not Specified,41,859,668,112,19,60,09-24-2015,Regular Air,George Zrebassa,1261,Furniture,Chairs & Chairmats,2.21%,,,
3559,10-23-2015,Medium,34,"2,998","2,332",300,8,358,10-26-2015,Express Air,Logan Haushalter,1124,Office Supplies,Binders and Binder Accessories,0.27%,,,
3650,05-27-2015,Not Specified,36,152,132,9,8,3,05-30-2015,Express Air,Denise Monton,1026,Office Supplies,Binders and Binder Accessories,5.39%,,,
3650,05-27-2015,Not Specified,24,129,112,5,96,-84,05-29-2015,Delivery Truck,Denise Monton,53,Furniture,Chairs & Chairmats,74.72%,,,
3654,06-02-2015,Low,39,276,237,11,21,7,06-04-2015,Regular Air,Karl Brown,245,Technology,Office Machines,7.62%,,,
3654,06-02-2015,Low,41,75,65,0,8,2,06-05-2015,Regular Air,Karl Brown,1240,Furniture,Office Furnishings,10.68%,,,
3654,06-02-2015,Low,47,"7,960","6,890","1,035",35,1,06-04-2015,Delivery Truck,Karl Brown,100,Office Supplies,Appliances,0.44%,,,
3655,10-05-2015,Critical,3,150,130,5,20,-4,10-07-2015,Regular Air,Tony Sayre,693,Office Supplies,Binders and Binder Accessories,13.18%,,,
3655,10-05-2015,Critical,24,48,42,0,12,-5,10-08-2015,Regular Air,Tony Sayre,63,Technology,Telephones and Communication,24.05%,,,
3680,12-09-2015,Not Specified,27,"13,151","10,540","1,578",9,"1,024",12-12-2015,Regular Air,Evan Henry,1157,Office Supplies,Paper,0.07%,,,
3680,12-09-2015,Not Specified,24,32,28,4,2,-2,12-12-2015,Express Air,Evan Henry,977,Office Supplies,Binders and Binder Accessories,7.05%,,,
3685,01-16-2015,Medium,29,"2,376","1,904",0,8,464,01-18-2015,Regular Air,Mike Vittorini,1036,Office Supplies,Pens & Art Supplies,0.32%,,,
3810,09-16-2015,Critical,25,179,143,11,1,25,09-19-2015,Express Air,Tanja Norvell,950,Office Supplies,Labels,0.42%,,,
3810,09-16-2015,Critical,40,68,59,8,74,-73,09-18-2015,Regular Air,Tanja Norvell,1257,Office Supplies,Appliances,108.34%,,,
3845,04-25-2015,Critical,22,"3,269","2,638",98,16,518,04-27-2015,Regular Air,Stephanie Phelps,539,Furniture,Office Furnishings,0.48%,,,
3845,04-25-2015,Critical,15,440,365,53,1,21,04-27-2015,Regular Air,Stephanie Phelps,740,Furniture,Office Furnishings,0.33%,,,
3845,04-25-2015,Critical,9,227,197,27,30,-27,04-28-2015,Regular Air,Stephanie Phelps,37,Office Supplies,Appliances,13.20%,,,
3907,08-18-2015,Medium,34,606,449,61,23,73,08-20-2015,Regular Air,Christopher Martinez,621,Office Supplies,Binders and Binder Accessories,3.74%,,,
3907,08-18-2015,Medium,36,761,656,30,8,66,08-20-2015,Express Air,Christopher Martinez,527,Technology,Computer Peripherals,1.08%,,,
3907,08-18-2015,Medium,36,82,70,2,74,-64,08-20-2015,Regular Air,Christopher Martinez,1257,Office Supplies,Appliances,89.36%,,,
3970,03-26-2015,Medium,13,"1,111",951,78,68,14,03-28-2015,Delivery Truck,Christina DeMoss,663,Office Supplies,Storage & Organization,6.08%,,,
3970,03-26-2015,Medium,39,6,5,1,3,-3,03-28-2015,Regular Air,Christina DeMoss,348,Technology,Computer Peripherals,51.64%,,,
3973,03-23-2015,Not Specified,21,247,207,20,6,15,03-25-2015,Regular Air,Bobby Odegard,664,Furniture,Office Furnishings,2.26%,,,
4067,10-06-2015,High,16,161,129,10,9,14,10-08-2015,Regular Air,Shahid Shariari,725,Office Supplies,Binders and Binder Accessories,5.63%,,,
4069,05-12-2015,Medium,30,131,110,9,1,10,05-14-2015,Regular Air,Harold Dahlen,940,Office Supplies,Rubber Bands,0.92%,,,
4069,05-12-2015,Medium,8,189,152,21,10,6,05-15-2015,Regular Air,Harold Dahlen,1172,Office Supplies,Paper,5.35%,,,
4069,05-12-2015,Medium,47,52,45,7,2,-2,05-15-2015,Express Air,Harold Dahlen,800,Office Supplies,Pens & Art Supplies,3.88%,,,
4096,07-02-2015,Not Specified,21,"1,522","1,232",91,1,198,07-05-2015,Regular Air,Bill Eplett,769,Office Supplies,Labels,0.05%,,,
4099,08-20-2015,Critical,42,831,717,91,9,14,08-22-2015,Regular Air,Ed Braxton,1255,Office Supplies,Storage & Organization,1.12%,,,
4099,08-20-2015,Critical,4,117,102,0,11,4,08-22-2015,Regular Air,Ed Braxton,852,Furniture,Office Furnishings,9.32%,,,
4099,08-20-2015,Critical,39,38,32,3,13,-10,08-23-2015,Regular Air,Ed Braxton,167,Technology,Telephones and Communication,35.56%,,,
4099,08-20-2015,Critical,12,"1,796","1,796",108,9,-116,08-23-2015,Regular Air,Ed Braxton,914,Office Supplies,Envelopes,0.48%,,,
4103,07-02-2015,Low,3,730,583,73,13,60,07-05-2015,Regular Air,Denise Leinenbach,683,Office Supplies,Pens & Art Supplies,1.85%,,,
4162,02-09-2015,Low,2,222,178,29,30,-15,02-11-2015,Regular Air,Alyssa Tate,25,Office Supplies,Storage & Organization,13.53%,,,
4199,02-12-2015,Critical,43,693,517,14,8,154,02-15-2015,Express Air,Bruce Money,565,Furniture,Office Furnishings,1.15%,,,
4230,03-03-2015,Critical,18,712,543,50,13,106,03-06-2015,Regular Air,Tamara Willingham,622,Furniture,Office Furnishings,1.89%,,,
4230,03-03-2015,Critical,46,409,345,41,13,9,03-05-2015,Express Air,Tamara Willingham,203,Technology,Telephones and Communication,3.30%,,,
4261,10-02-2015,Critical,48,"9,621","7,897",577,8,"1,139",10-05-2015,Regular Air,Lela Donovan,1073,Office Supplies,Paper,0.08%,,,
4261,10-02-2015,Critical,33,"1,514","1,291",167,8,48,10-05-2015,Regular Air,Lela Donovan,937,Office Supplies,Paper,0.53%,,,
4261,10-02-2015,Critical,32,197,169,12,37,-20,10-05-2015,Regular Air,Lela Donovan,99,Office Supplies,Appliances,18.62%,,,
4261,10-02-2015,Critical,22,251,219,15,90,-73,10-05-2015,Delivery Truck,Lela Donovan,399,Office Supplies,Appliances,35.84%,,,
4294,08-14-2015,Medium,8,277,241,8,6,22,08-16-2015,Regular Air,Mike Vittorini,1212,Furniture,Office Furnishings,2.21%,,,
4391,02-17-2015,High,20,255,211,20,6,17,02-19-2015,Regular Air,Eugene Moren,127,Technology,Telephones and Communication,2.29%,,,
4416,06-29-2015,Low,46,279,209,36,30,4,07-02-2015,Regular Air,Erica Bern,253,Office Supplies,Binders and Binder Accessories,10.73%,,,
4515,03-16-2015,Critical,7,567,439,17,11,100,03-18-2015,Regular Air,Vivian Mathis,344,Technology,Office Machines,1.88%,,,
4578,09-12-2015,Low,15,711,602,71,10,28,09-15-2015,Regular Air,Roy Skaria,608,Furniture,Office Furnishings,1.41%,,,
4578,09-12-2015,Low,48,292,252,6,20,13,09-15-2015,Regular Air,Roy Skaria,706,Office Supplies,Appliances,6.85%,,,
4578,09-12-2015,Low,45,281,243,34,10,-6,09-14-2015,Regular Air,Roy Skaria,1172,Office Supplies,Paper,3.60%,,,
4581,09-03-2015,Not Specified,25,"1,147",919,34,30,163,09-05-2015,Regular Air,Thea Hendricks,317,Office Supplies,Envelopes,2.61%,,,
4705,03-21-2015,Not Specified,16,154,126,18,10,-1,03-24-2015,Regular Air,Adrian Hane,926,Office Supplies,Storage & Organization,6.33%,,,
4706,12-28-2015,Not Specified,30,"2,262","1,937",68,30,227,12-31-2015,Regular Air,Bradley Drucker,324,Office Supplies,Binders and Binder Accessories,1.33%,,,
4738,04-07-2015,High,2,"2,018","1,728",61,1,229,04-09-2015,Regular Air,David Kendrick,743,Office Supplies,Rubber Bands,0.05%,,,
4741,07-06-2015,Not Specified,40,363,291,44,13,16,07-08-2015,Regular Air,Anthony O'Donnell,1022,Furniture,Office Furnishings,3.52%,,,
4771,12-13-2015,Critical,4,9,7,1,68,-66,12-16-2015,Delivery Truck,Christy Brittain,308,Furniture,Tables,724.68%,,,
4800,01-05-2015,Low,17,32,28,1,1,3,01-08-2015,Regular Air,Max Engle,763,Office Supplies,Labels,2.33%,,,
4800,01-05-2015,Low,7,83,73,8,4,-1,01-07-2015,Regular Air,Max Engle,595,Office Supplies,Pens & Art Supplies,4.24%,,,
